date,source,wallet,period,total_pnl,roi,accuracy,max_drawdown,trade_count,risk_label,style_label,include_status,include_reason,exclude_reason,next_review
2026-05-18,HyperCopy 3M total_pnl,0xaea8e3bd369217cc6e3e6abddf0da318fba8e59b,3M,+$996.8K,++77.23% ROI,79.7%,-42.5%,9118,High risk,Asymmetric Pro,exclude,,3M rank #11 positive PnL but high drawdown on 3M window,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,3M,+$890.1K,++2333093.84% ROI,57.9%,-12.5%,5308,Low risk,Cons. Hi-Freq,review,3M rank #12 positive total PnL but needs behavior review before inclusion,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x143c28ae5b8642f58c98b8a6f82a0f314d23f6ab,3M,+$876.6K,++62.59% ROI,91.1%,-0.2%,1824,Low risk,Asymmetric Pro,include,3M rank #13 positive PnL low-risk profile strong accuracy and enough trade count,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x69cc3ae720efdff1cd2a8edec79a7a3fac6e14fd,3M,+$805.7K,++2.52% ROI,99.9%,-0.0%,2105,Low risk,,include,3M rank #14 positive PnL low-risk profile strong accuracy and enough trade count,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x7da85a334e43a6b1c2c0da9623409d9ee9047747,3M,+$646.8K,++82.28% ROI,64.2%,-67.2%,5878,High risk,Asymmetric Pro,exclude,,3M rank #15 positive PnL but high drawdown on 3M window,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x0daf132c5554fd7d5eb422585426af557d8847e0,3M,+$619.0K,++50.74% ROI,99.8%,-0.0%,1208,Low risk,,include,3M rank #16 positive PnL with target trade count strong accuracy and acceptable drawdown,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x7eb9026d0183942458bd4660371c3cc0a2df3beb,3M,+$592.4K,++55.95% ROI,43.4%,-99.9%,2066,High risk,Cons. Hi-Freq,exclude,,3M rank #17 positive PnL but high drawdown on 3M window,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x00f8da96829820da934fc4a4cb7d39031ce7454b,3M,+$568.2K,++58.10% ROI,71.8%,-9.0%,3917,Low risk,Asymmetric Pro,review,3M rank #18 positive PnL but trade count 3917 is outside 500-3000 target band,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x837686cfda8a79adfb8465d39240c54166bf9a1e,3M,+$530.2K,++36.93% ROI,58.4%,-10.3%,550,Low risk,Asymmetric Pro,review,3M rank #19 positive PnL but accuracy below 80% needs behavior review,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x5faed49291db46f90e9af7331e41046e65776e5f,3M,+$472.5K,++23.25% ROI,57.1%,-81.8%,613,High risk,,exclude,,3M rank #20 positive PnL but high drawdown on 3M window,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0xb245ed242d9f9a86e75cdb30892d9d922cd568ba,3M,+$634.4K,++326.04% ROI,35.2%,-5.8%,600,Low risk,Cons. Hi-Freq,review,3M rank #35 positive PnL but accuracy below 80% needs behavior review,,2026-05-19
2026-05-18,HyperCopy 3M total_pnl,0x6d7823cd5c3d9dcd63e6a8021b475e0c7c94b291,3M,+$378.0K,++1160433.04% ROI,64.9%,-7.5%,1232,Low risk,,review,3M rank #40 positive PnL but accuracy below 80% needs behavior review,,2026-05-19
2026-05-19,HyperCopy 3M total_pnl,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,3M,+$4.60M,++20.69% ROI,70.0%,-20.6%,37120,Medium risk,,review,3M rank #63 positive PnL but trade count 37120 is far outside 500-3000 target band and drawdown needs manual review,,2026-05-20
